Words,likelihood_cleanliness,likelihood_location,likelihood_facilities
beachesgood,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
lemon,0.0005961844197138314,0.00032306698255438296,0.00026062027625749283
catering,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
responded,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
took,0.0001987281399046105,0.0004307559767391773,0.00013031013812874641
use,0.0009936406995230524,0.0005384449709239715,0.002215272348188689
interest,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
chairs,0.000794912559618442,0.00010768899418479432,0.00039093041438623924
dipkarpaz,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
bnb,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
enahouse,0.000397456279809221,0.00021537798836958864,0.00026062027625749283
walk,0.0011923688394276629,0.006569028645272453,0.0018243419338024498
bay,0.0001987281399046105,0.0006461339651087659,0.00026062027625749283
silent,0.0001987281399046105,0.00021537798836958864,0.00026062027625749283
privacy,0.0001987281399046105,0.00010768899418479432,0.00026062027625749283
middle,0.000397456279809221,0.00021537798836958864,0.00013031013812874641
offcenter,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
year,0.0001987281399046105,0.00032306698255438296,0.00026062027625749283
groove,0.000397456279809221,0.00021537798836958864,0.00026062027625749283
misleading,0.0001987281399046105,0.00010768899418479432,0.00026062027625749283
football,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
perhaps,0.0001987281399046105,0.00010768899418479432,0.00026062027625749283
rooftop,0.000397456279809221,0.00032306698255438296,0.0006515506906437321
landlord,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
blender,0.0001987281399046105,0.00010768899418479432,0.00026062027625749283
enough,0.0009936406995230524,0.0007538229592935602,0.0009121709669012249
waterfront,0.0001987281399046105,0.00021537798836958864,0.00026062027625749283
apartemnt,0.000397456279809221,0.00010768899418479432,0.00013031013812874641
close,0.0029809220985691576,0.009692009476631487,0.004300234558248631
ready,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
for,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
corona,0.000397456279809221,0.00021537798836958864,0.00013031013812874641
thoughtful,0.0001987281399046105,0.00010768899418479432,0.00039093041438623924
dishes,0.0001987281399046105,0.00021537798836958864,0.00039093041438623924
together,0.0001987281399046105,0.00021537798836958864,0.00026062027625749283
protaras,0.0001987281399046105,0.0004307559767391773,0.00013031013812874641
no,0.0001987281399046105,0.00021537798836958864,0.00026062027625749283
tamara,0.000397456279809221,0.00010768899418479432,0.00013031013812874641
waves,0.0001987281399046105,0.00021537798836958864,0.00039093041438623924
spent,0.000397456279809221,0.0005384449709239715,0.0006515506906437321
sky,0.0001987281399046105,0.00021537798836958864,0.00026062027625749283
fisherman,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
malama,0.0001987281399046105,0.00032306698255438296,0.00013031013812874641
erich,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
chilled,0.000397456279809221,0.00021537798836958864,0.00026062027625749283
helen,0.0001987281399046105,0.00010768899418479432,0.00026062027625749283
vibe,0.000397456279809221,0.00010768899418479432,0.00013031013812874641
provision,0.000397456279809221,0.00010768899418479432,0.00039093041438623924
the,0.005961844197138315,0.005061382726685333,0.004430544696377378
ordered,0.0001987281399046105,0.00010768899418479432,0.00026062027625749283
nearby,0.0009936406995230524,0.0029076028429894465,0.0013031013812874641
ones,0.0001987281399046105,0.00010768899418479432,0.00026062027625749283
dated,0.0001987281399046105,0.00021537798836958864,0.00039093041438623924
mask,0.000397456279809221,0.00010768899418479432,0.00013031013812874641
sport,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
smelling,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
fancy,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
aesthetic,0.0001987281399046105,0.00021537798836958864,0.00026062027625749283
umbrella,0.0001987281399046105,0.00010768899418479432,0.00026062027625749283
bed,0.0017885532591414945,0.00021537798836958864,0.0018243419338024498
cook,0.0001987281399046105,0.00010768899418479432,0.00039093041438623924
coco,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
trip,0.0001987281399046105,0.00032306698255438296,0.00026062027625749283
closed,0.000397456279809221,0.0004307559767391773,0.00013031013812874641
problems,0.000397456279809221,0.0004307559767391773,0.0006515506906437321
chair,0.0001987281399046105,0.00010768899418479432,0.00039093041438623924
wild,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
beachside,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
foodstores,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
cleaned,0.0001987281399046105,0.00010768899418479432,0.00026062027625749283
bags,0.0001987281399046105,0.00010768899418479432,0.00026062027625749283
parts,0.0001987281399046105,0.00021537798836958864,0.00026062027625749283
evening,0.000397456279809221,0.0005384449709239715,0.0010424811050299713
listed,0.0001987281399046105,0.00010768899418479432,0.00039093041438623924
types,0.0001987281399046105,0.00010768899418479432,0.00026062027625749283
wisest,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
works,0.000397456279809221,0.00032306698255438296,0.0005212405525149857
roof,0.0001987281399046105,0.0004307559767391773,0.0005212405525149857
stephen,0.000397456279809221,0.00010768899418479432,0.00013031013812874641
blown,0.0001987281399046105,0.00021537798836958864,0.00026062027625749283
stunning,0.000397456279809221,0.0012922679302175318,0.0010424811050299713
traditional,0.0001987281399046105,0.00021537798836958864,0.0006515506906437321
dogs,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
shop,0.000397456279809221,0.0011845789360327374,0.0009121709669012249
showertoilet,0.000397456279809221,0.00021537798836958864,0.00026062027625749283
island,0.0001987281399046105,0.0004307559767391773,0.00039093041438623924
paradise,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
wolt,0.0001987281399046105,0.00010768899418479432,0.00026062027625749283
reality,0.0001987281399046105,0.00021537798836958864,0.00013031013812874641
